time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;4.444e-01;7.979e-01;4.255e-01;1.178e+00;1.095e+00;7.830e-01;4.757e-01;1.044e+00;7.500e-01;4.000e-01;8.333e-01;4.444e-01;1.178e+00;5.000e+01;5.000e+01
0.000001000;1.044e+00;8.333e-01;4.444e-01;7.979e-01;4.255e-01;1.178e+00;1.095e+00;7.830e-01;4.757e-01;1.044e+00;7.500e-01;4.000e-01;8.333e-01;4.444e-01;1.178e+00;5.000e+01;5.000e+01
19.990000000;1.044e+00;8.333e-01;4.444e-01;7.979e-01;4.255e-01;1.178e+00;1.095e+00;7.830e-01;4.757e-01;1.044e+00;7.500e-01;4.000e-01;8.333e-01;4.444e-01;1.178e+00;5.000e+01;5.000e+01
19.990004000;1.044e+00;8.334e-01;4.445e-01;7.979e-01;4.255e-01;1.178e+00;1.095e+00;7.830e-01;4.757e-01;1.044e+00;7.500e-01;4.000e-01;8.333e-01;4.444e-01;1.178e+00;5.000e+01;5.000e+01
19.990012000;1.045e+00;8.335e-01;4.445e-01;7.979e-01;4.255e-01;1.178e+00;1.095e+00;7.830e-01;4.757e-01;1.045e+00;7.501e-01;4.001e-01;8.333e-01;4.444e-01;1.178e+00;5.000e+01;5.000e+01
19.990028000;1.045e+00;8.336e-01;4.446e-01;7.979e-01;4.255e-01;1.178e+00;1.095e+00;7.830e-01;4.757e-01;1.045e+00;7.503e-01;4.001e-01;8.333e-01;4.444e-01;1.178e+00;5.000e+01;5.000e+01
19.990060000;1.045e+00;8.339e-01;4.448e-01;7.979e-01;4.255e-01;1.179e+00;1.096e+00;7.830e-01;4.757e-01;1.045e+00;7.506e-01;4.003e-01;8.333e-01;4.444e-01;1.178e+00;4.999e+01;4.999e+01
19.990124000;1.046e+00;8.346e-01;4.451e-01;7.979e-01;4.255e-01;1.180e+00;1.097e+00;7.830e-01;4.757e-01;1.046e+00;7.511e-01;4.006e-01;8.333e-01;4.444e-01;1.178e+00;4.999e+01;4.999e+01
19.990252000;1.048e+00;8.359e-01;4.458e-01;7.979e-01;4.255e-01;1.181e+00;1.098e+00;7.830e-01;4.756e-01;1.048e+00;7.523e-01;4.012e-01;8.333e-01;4.444e-01;1.178e+00;4.998e+01;4.998e+01
19.990380000;1.049e+00;8.372e-01;4.465e-01;7.979e-01;4.255e-01;1.183e+00;1.100e+00;7.831e-01;4.755e-01;1.049e+00;7.535e-01;4.019e-01;8.333e-01;4.444e-01;1.178e+00;4.997e+01;4.997e+01
19.990508000;1.051e+00;8.385e-01;4.472e-01;7.978e-01;4.256e-01;1.185e+00;1.101e+00;7.831e-01;4.755e-01;1.051e+00;7.546e-01;4.025e-01;8.333e-01;4.444e-01;1.178e+00;4.996e+01;4.996e+01
19.990617000;1.052e+00;8.396e-01;4.478e-01;7.978e-01;4.256e-01;1.187e+00;1.103e+00;7.831e-01;4.754e-01;1.052e+00;7.556e-01;4.030e-01;8.333e-01;4.444e-01;1.178e+00;4.995e+01;4.995e+01
19.990621000;1.052e+00;8.396e-01;4.479e-01;7.978e-01;4.256e-01;1.187e+00;1.103e+00;7.831e-01;4.754e-01;1.052e+00;7.556e-01;4.031e-01;8.333e-01;4.444e-01;1.178e+00;4.995e+01;4.995e+01
19.990625000;1.052e+00;8.396e-01;4.479e-01;7.978e-01;4.256e-01;1.187e+00;1.103e+00;7.831e-01;4.754e-01;1.052e+00;7.557e-01;4.031e-01;8.333e-01;4.444e-01;1.178e+00;4.995e+01;4.995e+01
19.990633000;1.053e+00;8.397e-01;4.479e-01;7.978e-01;4.256e-01;1.187e+00;1.103e+00;7.831e-01;4.754e-01;1.053e+00;7.558e-01;4.031e-01;8.333e-01;4.444e-01;1.178e+00;4.995e+01;4.995e+01
