time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;NetworkFrequencyPu
0.000000000;9.637e-01;4.222e-01;-3.188e-01;4.382e-01;-3.308e-01;9.633e-01;4.383e-01;-3.306e-01;9.637e-01;1.689e-02;-1.275e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.001218000;9.637e-01;4.223e-01;-3.188e-01;4.382e-01;-3.308e-01;9.634e-01;4.383e-01;-3.306e-01;9.637e-01;1.689e-02;-1.275e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.001275000;9.637e-01;4.222e-01;-3.188e-01;4.382e-01;-3.308e-01;9.634e-01;4.383e-01;-3.305e-01;9.637e-01;1.689e-02;-1.275e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.001794000;9.637e-01;4.222e-01;-3.187e-01;4.382e-01;-3.308e-01;9.634e-01;4.383e-01;-3.305e-01;9.637e-01;1.689e-02;-1.275e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.001851000;9.637e-01;4.222e-01;-3.187e-01;4.381e-01;-3.307e-01;9.634e-01;4.383e-01;-3.305e-01;9.637e-01;1.689e-02;-1.275e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.003234000;9.637e-01;4.221e-01;-3.187e-01;4.380e-01;-3.307e-01;9.634e-01;4.382e-01;-3.305e-01;9.637e-01;1.689e-02;-1.275e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.003464000;9.637e-01;4.221e-01;-3.187e-01;4.380e-01;-3.307e-01;9.634e-01;4.382e-01;-3.305e-01;9.637e-01;1.688e-02;-1.275e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.003695000;9.637e-01;4.221e-01;-3.186e-01;4.379e-01;-3.306e-01;9.634e-01;4.381e-01;-3.304e-01;9.637e-01;1.688e-02;-1.275e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.005174000;9.637e-01;4.219e-01;-3.186e-01;4.377e-01;-3.306e-01;9.634e-01;4.379e-01;-3.304e-01;9.637e-01;1.687e-02;-1.274e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.006966000;9.637e-01;4.215e-01;-3.186e-01;4.374e-01;-3.306e-01;9.634e-01;4.376e-01;-3.304e-01;9.637e-01;1.686e-02;-1.274e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01
