Time (s);P PCC (pu);P lower (pu);P upper (pu)
-1.000e+00;0.000e+00;-5.479e-02;5.479e-02
-9.980e-01;0.000e+00;-5.479e-02;5.479e-02
-9.960e-01;0.000e+00;-5.479e-02;5.479e-02
-9.940e-01;0.000e+00;-5.479e-02;5.479e-02
-9.920e-01;0.000e+00;-5.479e-02;5.479e-02
-9.900e-01;0.000e+00;-5.479e-02;5.479e-02
-9.880e-01;0.000e+00;-5.479e-02;5.479e-02
-9.860e-01;0.000e+00;-5.479e-02;5.479e-02
-9.840e-01;0.000e+00;-5.479e-02;5.479e-02
-9.820e-01;0.000e+00;-5.479e-02;5.479e-02
-9.800e-01;0.000e+00;-5.479e-02;5.479e-02
-9.780e-01;0.000e+00;-5.479e-02;5.479e-02
-9.760e-01;0.000e+00;-5.479e-02;5.479e-02
-9.740e-01;0.000e+00;-5.479e-02;5.479e-02
-9.720e-01;0.000e+00;-5.479e-02;5.479e-02
-9.700e-01;0.000e+00;-5.479e-02;5.479e-02
-9.680e-01;0.000e+00;-5.479e-02;5.479e-02
-9.660e-01;0.000e+00;-5.479e-02;5.479e-02
-9.640e-01;0.000e+00;-5.479e-02;5.479e-02
-9.620e-01;0.000e+00;-5.479e-02;5.479e-02
-9.600e-01;0.000e+00;-5.479e-02;5.479e-02
-9.580e-01;0.000e+00;-5.479e-02;5.479e-02
-9.560e-01;0.000e+00;-5.479e-02;5.479e-02
-9.540e-01;0.000e+00;-5.479e-02;5.479e-02
-9.520e-01;0.000e+00;-5.479e-02;5.479e-02
-9.500e-01;0.000e+00;-5.479e-02;5.479e-02
-9.480e-01;0.000e+00;-5.479e-02;5.479e-02
-9.460e-01;0.000e+00;-5.479e-02;5.479e-02
-9.440e-01;0.000e+00;-5.479e-02;5.479e-02
-9.420e-01;0.000e+00;-5.479e-02;5.479e-02
-9.400e-01;0.000e+00;-5.479e-02;5.479e-02
-9.380e-01;0.000e+00;-5.479e-02;5.479e-02
-9.360e-01;0.000e+00;-5.479e-02;5.479e-02
-9.340e-01;0.000e+00;-5.479e-02;5.479e-02
-9.320e-01;0.000e+00;-5.479e-02;5.479e-02
-9.300e-01;0.000e+00;-5.479e-02;5.479e-02
-9.280e-01;0.000e+00;-5.479e-02;5.479e-02
-9.260e-01;0.000e+00;-5.479e-02;5.479e-02
-9.240e-01;0.000e+00;-5.479e-02;5.479e-02
-9.220e-01;0.000e+00;-5.479e-02;5.479e-02
-9.200e-01;0.000e+00;-5.479e-02;5.479e-02
-9.180e-01;0.000e+00;-5.479e-02;5.479e-02
-9.160e-01;0.000e+00;-5.479e-02;5.479e-02
-9.140e-01;0.000e+00;-5.479e-02;5.479e-02
-9.120e-01;0.000e+00;-5.479e-02;5.479e-02
-9.100e-01;0.000e+00;-5.479e-02;5.479e-02
-9.080e-01;0.000e+00;-5.479e-02;5.479e-02
-9.060e-01;0.000e+00;-5.479e-02;5.479e-02
-9.040e-01;0.000e+00;-5.479e-02;5.479e-02
-9.020e-01;0.000e+00;-5.479e-02;5.479e-02
-9.000e-01;0.000e+00;-5.479e-02;5.479e-02
-8.980e-01;0.000e+00;-5.479e-02;5.479e-02
-8.960e-01;0.000e+00;-5.479e-02;5.479e-02
-8.940e-01;0.000e+00;-5.479e-02;5.479e-02
-8.920e-01;0.000e+00;-5.479e-02;5.479e-02
-8.900e-01;0.000e+00;-5.479e-02;5.479e-02
-8.880e-01;0.000e+00;-5.479e-02;5.479e-02
-8.860e-01;0.000e+00;-5.479e-02;5.479e-02
-8.840e-01;0.000e+00;-5.479e-02;5.479e-02
-8.820e-01;0.000e+00;-5.479e-02;5.479e-02
-8.800e-01;0.000e+00;-5.479e-02;5.479e-02
-8.780e-01;0.000e+00;-5.479e-02;5.479e-02
-8.760e-01;0.000e+00;-5.479e-02;5.479e-02
-8.740e-01;0.000e+00;-5.479e-02;5.479e-02
-8.720e-01;0.000e+00;-5.479e-02;5.479e-02
-8.700e-01;0.000e+00;-5.479e-02;5.479e-02
-8.680e-01;0.000e+00;-5.479e-02;5.479e-02
-8.660e-01;0.000e+00;-5.479e-02;5.479e-02
-8.640e-01;0.000e+00;-5.479e-02;5.479e-02
-8.620e-01;0.000e+00;-5.479e-02;5.479e-02
-8.600e-01;0.000e+00;-5.479e-02;5.479e-02
-8.580e-01;0.000e+00;-5.479e-02;5.479e-02
-8.560e-01;0.000e+00;-5.479e-02;5.479e-02
-8.540e-01;0.000e+00;-5.479e-02;5.479e-02
-8.520e-01;0.000e+00;-5.479e-02;5.479e-02
-8.499e-01;0.000e+00;-5.479e-02;5.479e-02
-8.479e-01;0.000e+00;-5.479e-02;5.479e-02
-8.459e-01;0.000e+00;-5.479e-02;5.479e-02
-8.439e-01;0.000e+00;-5.479e-02;5.479e-02
-8.419e-01;0.000e+00;-5.479e-02;5.479e-02
-8.399e-01;0.000e+00;-5.479e-02;5.479e-02
-8.379e-01;0.000e+00;-5.479e-02;5.479e-02
-8.359e-01;0.000e+00;-5.479e-02;5.479e-02
-8.339e-01;0.000e+00;-5.479e-02;5.479e-02
-8.319e-01;0.000e+00;-5.479e-02;5.479e-02
-8.299e-01;0.000e+00;-5.479e-02;5.479e-02
-8.279e-01;0.000e+00;-5.479e-02;5.479e-02
-8.259e-01;0.000e+00;-5.479e-02;5.479e-02
-8.239e-01;0.000e+00;-5.479e-02;5.479e-02
-8.219e-01;0.000e+00;-5.479e-02;5.479e-02
-8.199e-01;0.000e+00;-5.479e-02;5.479e-02
-8.179e-01;0.000e+00;-5.479e-02;5.479e-02
-8.159e-01;0.000e+00;-5.479e-02;5.479e-02
-8.139e-01;0.000e+00;-5.479e-02;5.479e-02
-8.119e-01;0.000e+00;-5.479e-02;5.479e-02
-8.099e-01;0.000e+00;-5.479e-02;5.479e-02
-8.079e-01;0.000e+00;-5.479e-02;5.479e-02
-8.059e-01;0.000e+00;-5.479e-02;5.479e-02
-8.039e-01;0.000e+00;-5.479e-02;5.479e-02
-8.019e-01;0.000e+00;-5.479e-02;5.479e-02
-7.999e-01;0.000e+00;-5.479e-02;5.479e-02
-7.979e-01;0.000e+00;-5.479e-02;5.479e-02
-7.959e-01;0.000e+00;-5.479e-02;5.479e-02
-7.939e-01;0.000e+00;-5.479e-02;5.479e-02
-7.919e-01;0.000e+00;-5.479e-02;5.479e-02
-7.899e-01;0.000e+00;-5.479e-02;5.479e-02
-7.879e-01;0.000e+00;-5.479e-02;5.479e-02
-7.859e-01;0.000e+00;-5.479e-02;5.479e-02
-7.839e-01;0.000e+00;-5.479e-02;5.479e-02
-7.819e-01;0.000e+00;-5.479e-02;5.479e-02
-7.799e-01;0.000e+00;-5.479e-02;5.479e-02
-7.779e-01;0.000e+00;-5.479e-02;5.479e-02
-7.759e-01;0.000e+00;-5.479e-02;5.479e-02
-7.739e-01;0.000e+00;-5.479e-02;5.479e-02
-7.719e-01;0.000e+00;-5.479e-02;5.479e-02
-7.699e-01;0.000e+00;-5.479e-02;5.479e-02
-7.679e-01;0.000e+00;-5.479e-02;5.479e-02
-7.659e-01;0.000e+00;-5.479e-02;5.479e-02
-7.639e-01;0.000e+00;-5.479e-02;5.479e-02
-7.619e-01;0.000e+00;-5.479e-02;5.479e-02
-7.599e-01;0.000e+00;-5.479e-02;5.479e-02
-7.579e-01;0.000e+00;-5.479e-02;5.479e-02
-7.559e-01;0.000e+00;-5.479e-02;5.479e-02
-7.539e-01;0.000e+00;-5.479e-02;5.479e-02
-7.519e-01;0.000e+00;-5.479e-02;5.479e-02
-7.499e-01;0.000e+00;-5.479e-02;5.479e-02
-7.479e-01;0.000e+00;-5.479e-02;5.479e-02
-7.459e-01;0.000e+00;-5.479e-02;5.479e-02
-7.439e-01;0.000e+00;-5.479e-02;5.479e-02
-7.419e-01;0.000e+00;-5.479e-02;5.479e-02
-7.399e-01;0.000e+00;-5.479e-02;5.479e-02
-7.379e-01;0.000e+00;-5.479e-02;5.479e-02
-7.359e-01;0.000e+00;-5.479e-02;5.479e-02
-7.339e-01;0.000e+00;-5.479e-02;5.479e-02
-7.319e-01;0.000e+00;-5.479e-02;5.479e-02
-7.299e-01;0.000e+00;-5.479e-02;5.479e-02
-7.279e-01;0.000e+00;-5.479e-02;5.479e-02
-7.259e-01;0.000e+00;-5.479e-02;5.479e-02
-7.239e-01;0.000e+00;-5.479e-02;5.479e-02
-7.219e-01;0.000e+00;-5.479e-02;5.479e-02
-7.199e-01;0.000e+00;-5.479e-02;5.479e-02
-7.179e-01;0.000e+00;-5.479e-02;5.479e-02
-7.159e-01;0.000e+00;-5.479e-02;5.479e-02
-7.139e-01;0.000e+00;-5.479e-02;5.479e-02
-7.119e-01;0.000e+00;-5.479e-02;5.479e-02
-7.099e-01;0.000e+00;-5.479e-02;5.479e-02
-7.079e-01;0.000e+00;-5.479e-02;5.479e-02
-7.059e-01;0.000e+00;-5.479e-02;5.479e-02
-7.039e-01;0.000e+00;-5.479e-02;5.479e-02
-7.019e-01;0.000e+00;-5.479e-02;5.479e-02
-6.999e-01;0.000e+00;-5.479e-02;5.479e-02
-6.979e-01;0.000e+00;-5.479e-02;5.479e-02
-6.959e-01;0.000e+00;-5.479e-02;5.479e-02
-6.939e-01;0.000e+00;-5.479e-02;5.479e-02
-6.919e-01;0.000e+00;-5.479e-02;5.479e-02
-6.899e-01;0.000e+00;-5.479e-02;5.479e-02
-6.879e-01;0.000e+00;-5.479e-02;5.479e-02
-6.859e-01;0.000e+00;-5.479e-02;5.479e-02
-6.839e-01;0.000e+00;-5.479e-02;5.479e-02
-6.819e-01;0.000e+00;-5.479e-02;5.479e-02
-6.799e-01;0.000e+00;-5.479e-02;5.479e-02
-6.779e-01;0.000e+00;-5.479e-02;5.479e-02
-6.759e-01;0.000e+00;-5.479e-02;5.479e-02
-6.739e-01;0.000e+00;-5.479e-02;5.479e-02
-6.719e-01;0.000e+00;-5.479e-02;5.479e-02
-6.699e-01;0.000e+00;-5.479e-02;5.479e-02
-6.679e-01;0.000e+00;-5.479e-02;5.479e-02
-6.659e-01;0.000e+00;-5.479e-02;5.479e-02
-6.639e-01;0.000e+00;-5.479e-02;5.479e-02
-6.619e-01;0.000e+00;-5.479e-02;5.479e-02
-6.599e-01;0.000e+00;-5.479e-02;5.479e-02
-6.579e-01;0.000e+00;-5.479e-02;5.479e-02
-6.559e-01;0.000e+00;-5.479e-02;5.479e-02
-6.539e-01;0.000e+00;-5.479e-02;5.479e-02
-6.519e-01;0.000e+00;-5.479e-02;5.479e-02
-6.499e-01;0.000e+00;-5.479e-02;5.479e-02
-6.479e-01;0.000e+00;-5.479e-02;5.479e-02
-6.459e-01;0.000e+00;-5.479e-02;5.479e-02
-6.439e-01;0.000e+00;-5.479e-02;5.479e-02
-6.419e-01;0.000e+00;-5.479e-02;5.479e-02
-6.399e-01;0.000e+00;-5.479e-02;5.479e-02
-6.379e-01;0.000e+00;-5.479e-02;5.479e-02
-6.359e-01;0.000e+00;-5.479e-02;5.479e-02
-6.339e-01;0.000e+00;-5.479e-02;5.479e-02
-6.319e-01;0.000e+00;-5.479e-02;5.479e-02
-6.299e-01;0.000e+00;-5.479e-02;5.479e-02
-6.279e-01;0.000e+00;-5.479e-02;5.479e-02
-6.259e-01;0.000e+00;-5.479e-02;5.479e-02
-6.239e-01;0.000e+00;-5.479e-02;5.479e-02
-6.219e-01;0.000e+00;-5.479e-02;5.479e-02
-6.199e-01;0.000e+00;-5.479e-02;5.479e-02
-6.179e-01;0.000e+00;-5.479e-02;5.479e-02
-6.159e-01;0.000e+00;-5.479e-02;5.479e-02
-6.139e-01;0.000e+00;-5.479e-02;5.479e-02
-6.119e-01;0.000e+00;-5.479e-02;5.479e-02
-6.099e-01;0.000e+00;-5.479e-02;5.479e-02
-6.079e-01;0.000e+00;-5.479e-02;5.479e-02
-6.059e-01;0.000e+00;-5.479e-02;5.479e-02
-6.039e-01;0.000e+00;-5.479e-02;5.479e-02
-6.019e-01;0.000e+00;-5.479e-02;5.479e-02
-5.999e-01;0.000e+00;-5.479e-02;5.479e-02
-5.979e-01;0.000e+00;-5.479e-02;5.479e-02
-5.959e-01;0.000e+00;-5.479e-02;5.479e-02
-5.939e-01;0.000e+00;-5.479e-02;5.479e-02
-5.919e-01;0.000e+00;-5.479e-02;5.479e-02
-5.899e-01;0.000e+00;-5.479e-02;5.479e-02
-5.879e-01;0.000e+00;-5.479e-02;5.479e-02
-5.859e-01;0.000e+00;-5.479e-02;5.479e-02
-5.839e-01;0.000e+00;-5.479e-02;5.479e-02
-5.819e-01;0.000e+00;-5.479e-02;5.479e-02
-5.799e-01;0.000e+00;-5.479e-02;5.479e-02
-5.779e-01;0.000e+00;-5.479e-02;5.479e-02
-5.759e-01;0.000e+00;-5.479e-02;5.479e-02
-5.739e-01;0.000e+00;-5.479e-02;5.479e-02
-5.719e-01;0.000e+00;-5.479e-02;5.479e-02
-5.699e-01;0.000e+00;-5.479e-02;5.479e-02
-5.679e-01;0.000e+00;-5.479e-02;5.479e-02
-5.659e-01;0.000e+00;-5.479e-02;5.479e-02
-5.639e-01;0.000e+00;-5.479e-02;5.479e-02
-5.619e-01;0.000e+00;-5.479e-02;5.479e-02
-5.599e-01;0.000e+00;-5.479e-02;5.479e-02
-5.579e-01;0.000e+00;-5.479e-02;5.479e-02
-5.559e-01;0.000e+00;-5.479e-02;5.479e-02
-5.539e-01;0.000e+00;-5.479e-02;5.479e-02
-5.519e-01;0.000e+00;-5.479e-02;5.479e-02
-5.498e-01;0.000e+00;-5.479e-02;5.479e-02
-5.478e-01;0.000e+00;-5.479e-02;5.479e-02
-5.458e-01;0.000e+00;-5.479e-02;5.479e-02
-5.438e-01;0.000e+00;-5.479e-02;5.479e-02
-5.418e-01;0.000e+00;-5.479e-02;5.479e-02
-5.398e-01;0.000e+00;-5.479e-02;5.479e-02
-5.378e-01;0.000e+00;-5.479e-02;5.479e-02
-5.358e-01;0.000e+00;-5.479e-02;5.479e-02
-5.338e-01;0.000e+00;-5.479e-02;5.479e-02
-5.318e-01;0.000e+00;-5.479e-02;5.479e-02
-5.298e-01;0.000e+00;-5.479e-02;5.479e-02
-5.278e-01;0.000e+00;-5.479e-02;5.479e-02
-5.258e-01;0.000e+00;-5.479e-02;5.479e-02
-5.238e-01;0.000e+00;-5.479e-02;5.479e-02
-5.218e-01;0.000e+00;-5.479e-02;5.479e-02
-5.198e-01;0.000e+00;-5.479e-02;5.479e-02
