time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.038e+00;8.636e-01;-3.463e-01;8.321e-01;-3.338e-01;1.037e+00;8.325e-01;-3.330e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000064000;1.038e+00;8.636e-01;-3.463e-01;8.322e-01;-3.337e-01;1.037e+00;8.324e-01;-3.330e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000218000;1.038e+00;8.636e-01;-3.463e-01;8.322e-01;-3.337e-01;1.037e+00;8.325e-01;-3.330e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000275000;1.038e+00;8.636e-01;-3.463e-01;8.322e-01;-3.337e-01;1.037e+00;8.325e-01;-3.329e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000333000;1.038e+00;8.636e-01;-3.463e-01;8.322e-01;-3.336e-01;1.037e+00;8.325e-01;-3.329e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000390000;1.038e+00;8.636e-01;-3.463e-01;8.322e-01;-3.336e-01;1.037e+00;8.325e-01;-3.329e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000448000;1.038e+00;8.636e-01;-3.462e-01;8.322e-01;-3.336e-01;1.037e+00;8.325e-01;-3.329e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000621000;1.038e+00;8.636e-01;-3.462e-01;8.322e-01;-3.336e-01;1.037e+00;8.325e-01;-3.329e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000678000;1.038e+00;8.636e-01;-3.462e-01;8.322e-01;-3.336e-01;1.037e+00;8.324e-01;-3.328e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000736000;1.038e+00;8.636e-01;-3.462e-01;8.322e-01;-3.335e-01;1.037e+00;8.324e-01;-3.328e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000794000;1.038e+00;8.636e-01;-3.462e-01;8.322e-01;-3.335e-01;1.037e+00;8.324e-01;-3.328e-01;1.038e+00;3.454e-02;-1.385e-02;1.000e+01;8.333e-01;-4.435e-01
0.000851000;1.038e+00;8.636e-01;-3.461e-01;8.322e-01;-3.335e-01;1.037e+00;8.324e-01;-3.328e-01;1.038e+00;3.454e-02;-1.384e-02;1.000e+01;8.333e-01;-4.435e-01
0.001064000;1.038e+00;8.636e-01;-3.461e-01;8.321e-01;-3.335e-01;1.037e+00;8.324e-01;-3.328e-01;1.038e+00;3.454e-02;-1.384e-02;1.000e+01;8.333e-01;-4.435e-01
0.001128000;1.038e+00;8.636e-01;-3.461e-01;8.321e-01;-3.335e-01;1.037e+00;8.324e-01;-3.327e-01;1.038e+00;3.454e-02;-1.384e-02;1.000e+01;8.333e-01;-4.435e-01
0.001205000;1.038e+00;8.636e-01;-3.461e-01;8.321e-01;-3.335e-01;1.037e+00;8.324e-01;-3.327e-01;1.038e+00;3.454e-02;-1.384e-02;1.000e+01;8.333e-01;-4.435e-01
0.001206000;1.038e+00;8.636e-01;-3.461e-01;8.321e-01;-3.334e-01;1.037e+00;8.324e-01;-3.327e-01;1.038e+00;3.454e-02;-1.384e-02;1.000e+01;8.333e-01;-4.435e-01
0.001236000;1.038e+00;8.636e-01;-3.461e-01;8.321e-01;-3.334e-01;1.037e+00;8.324e-01;-3.327e-01;1.038e+00;3.454e-02;-1.384e-02;1.000e+01;8.333e-01;-4.435e-01
0.001268000;1.038e+00;8.636e-01;-3.461e-01;8.321e-01;-3.334e-01;1.038e+00;8.323e-01;-3.327e-01;1.038e+00;3.454e-02;-1.384e-02;1.000e+01;8.333e-01;-4.435e-01
0.001332000;1.038e+00;8.635e-01;-3.461e-01;8.320e-01;-3.334e-01;1.038e+00;8.323e-01;-3.327e-01;1.038e+00;3.454e-02;-1.384e-02;1.000e+01;8.333e-01;-4.435e-01
0.001364000;1.038e+00;8.635e-01;-3.460e-01;8.320e-01;-3.334e-01;1.038e+00;8.323e-01;-3.327e-01;1.038e+00;3.454e-02;-1.384e-02;1.000e+01;8.333e-01;-4.435e-01
