time;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_Voltage;NetworkFrequencyPu;Synch_Gen_GEN_RotorSpeedPu;Synch_Gen_GEN_RotorAngle;Synch_Gen_GEN_InternalAngle;Synch_Gen_GEN_AVRSetpointPu;Synch_Gen_GEN_MagnitudeControlledByAVRPu;Synch_Gen_GEN_NetworkFrequencyPu
0.0;3074.567;0.0;1.0444448994274425;1.0;1.0;1.035952;0.880969;1.066472;1.053892;1.0
0.0;3074.567;0.0;1.0444448994274425;1.0;1.0;1.035952;0.880969;1.066472;1.053892;1.0
0.0;3074.567;0.0;1.0444448994274425;1.0;1.0;1.035952;0.880969;1.066472;1.053892;1.0
0.0;3074.567;0.0;1.0444448994274425;1.0;1.0;1.035952;0.880969;1.066472;1.053892;1.0
0.0;3074.567;0.0;1.0444448994274425;1.0;1.0;1.035952;0.880969;1.066472;1.053892;1.0
0.0;3074.567;0.0;1.0444448994274425;1.0;1.0;1.035952;0.880969;1.066472;1.053892;1.0
0.0;3074.567;0.0;1.0444448994274425;1.0;1.0;1.035952;0.880969;1.066472;1.053892;1.0
0.0;3074.567;0.0;1.0444448994274425;1.0;1.0;1.035952;0.880969;1.066472;1.053892;1.0
0.0;3074.567;0.0;1.0444448994274425;1.0;1.0;1.035952;0.880969;1.066472;1.053892;1.0
0.0;3074.567;0.0;1.0444448994274425;1.0;1.0;1.035952;0.880969;1.066472;1.053892;1.0
0.0;3074.567;0.0;1.0444448994274425;1.0;1.0;1.035952;0.880969;1.066472;1.053892;1.0
0.0;3074.567;0.0;1.0444448994274425;1.0;1.0;1.035952;0.880969;1.066472;1.053892;1.0
0.0;3074.567;0.0;1.0444448994274425;1.0;1.0;1.035952;0.880969;1.066472;1.053892;1.0
0.0;3074.567;0.0;1.0444448994274425;1.0;1.0;1.035952;0.880969;1.066472;1.053892;1.0
0.0;3074.567;0.0;1.0444448994274425;1.0;1.0;1.035952;0.880969;1.066472;1.053892;1.0
1e-06;3074.567;0.0;1.0444448994274425;1.0;1.0;1.035952;0.880969;1.066472;1.053892;1.0
1e-06;3074.567;0.0;1.0444448994274425;1.0;1.0;1.035952;0.880969;1.066472;1.053892;1.0
1e-06;3074.567;0.0;1.0444448994274425;1.0;1.0;1.035952;0.880969;1.066472;1.053892;1.0
2e-06;3074.567;0.0;1.0444448994274425;1.0;1.0;1.035952;0.880969;1.066472;1.053892;1.0
2e-06;3074.567;0.0;1.0444448994274425;1.0;1.0;1.035952;0.880969;1.066472;1.053892;1.0
2e-06;3074.567;0.0;1.0444448994274425;1.0;1.0;1.035952;0.880969;1.066472;1.053892;1.0
