time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine1_GEN_MagnitudeControlledByAVRPu;Wind_Turbine2_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr1_XFMR_Tap;StepUp_Xfmr2_XFMR_Tap;Wind_Turbine1_GEN_InjectedActiveCurrent;Wind_Turbine1_GEN_InjectedReactiveCurrent;Wind_Turbine1_GEN_AVRSetpointPu;Wind_Turbine1_GEN_NetworkFrequencyPu;Wind_Turbine2_GEN_InjectedActiveCurrent;Wind_Turbine2_GEN_InjectedReactiveCurrent;Wind_Turbine2_GEN_AVRSetpointPu;Wind_Turbine2_GEN_NetworkFrequencyPu;Wind_Turbine1_GEN_InjectedCurrent;Wind_Turbine2_GEN_InjectedCurrent;NetworkFrequencyPu
0.000000000;1.044e+00;4.167e-01;4.167e-02;3.989e-01;3.989e-02;1.060e+00;1.060e+00;1.000e+01;1.000e+01;4.038e-01;-4.639e-02;1.060e+00;1.000e+00;4.038e-01;-4.639e-02;1.060e+00;1.000e+00;4.065e-01;4.065e-01;1.000e+00
0.000001000;1.044e+00;4.167e-01;4.167e-02;3.989e-01;3.989e-02;1.060e+00;1.060e+00;1.000e+01;1.000e+01;4.038e-01;-4.639e-02;1.060e+00;1.000e+00;4.038e-01;-4.639e-02;1.060e+00;1.000e+00;4.065e-01;4.065e-01;1.000e+00
0.000002000;1.044e+00;4.167e-01;4.167e-02;3.989e-01;3.989e-02;1.060e+00;1.060e+00;1.000e+01;1.000e+01;4.038e-01;-4.639e-02;1.060e+00;1.000e+00;4.038e-01;-4.639e-02;1.060e+00;1.000e+00;4.065e-01;4.065e-01;1.000e+00
0.000004000;1.044e+00;4.167e-01;4.167e-02;3.989e-01;3.989e-02;1.060e+00;1.060e+00;1.000e+01;1.000e+01;4.038e-01;-4.639e-02;1.060e+00;1.000e+00;4.038e-01;-4.639e-02;1.060e+00;1.000e+00;4.065e-01;4.065e-01;1.000e+00
0.000008000;1.044e+00;4.167e-01;4.167e-02;3.989e-01;3.989e-02;1.060e+00;1.060e+00;1.000e+01;1.000e+01;4.038e-01;-4.639e-02;1.060e+00;1.000e+00;4.038e-01;-4.639e-02;1.060e+00;1.000e+00;4.065e-01;4.065e-01;1.000e+00
0.000016000;1.044e+00;4.167e-01;4.167e-02;3.989e-01;3.989e-02;1.060e+00;1.060e+00;1.000e+01;1.000e+01;4.038e-01;-4.639e-02;1.060e+00;1.000e+00;4.038e-01;-4.639e-02;1.060e+00;1.000e+00;4.065e-01;4.065e-01;1.000e+00
0.000032000;1.044e+00;4.167e-01;4.167e-02;3.989e-01;3.989e-02;1.060e+00;1.060e+00;1.000e+01;1.000e+01;4.038e-01;-4.639e-02;1.060e+00;1.000e+00;4.038e-01;-4.639e-02;1.060e+00;1.000e+00;4.065e-01;4.065e-01;1.000e+00
0.000064000;1.044e+00;4.167e-01;4.167e-02;3.989e-01;3.989e-02;1.060e+00;1.060e+00;1.000e+01;1.000e+01;4.038e-01;-4.639e-02;1.060e+00;1.000e+00;4.038e-01;-4.639e-02;1.060e+00;1.000e+00;4.065e-01;4.065e-01;1.000e+00
0.000128000;1.044e+00;4.167e-01;4.167e-02;3.989e-01;3.989e-02;1.060e+00;1.060e+00;1.000e+01;1.000e+01;4.038e-01;-4.639e-02;1.060e+00;1.000e+00;4.038e-01;-4.639e-02;1.060e+00;1.000e+00;4.065e-01;4.065e-01;1.000e+00
0.000256000;1.044e+00;4.167e-01;4.167e-02;3.989e-01;3.989e-02;1.060e+00;1.060e+00;1.000e+01;1.000e+01;4.038e-01;-4.639e-02;1.060e+00;1.000e+00;4.038e-01;-4.639e-02;1.060e+00;1.000e+00;4.065e-01;4.065e-01;1.000e+00
