time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu
0.000000000;1.044e+00;8.333e-01;-8.405e-08;7.979e-01;-8.047e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.000001000;1.044e+00;8.333e-01;-8.405e-08;7.979e-01;-8.047e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.000002000;1.044e+00;8.333e-01;-8.405e-08;7.979e-01;-8.047e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.000004000;1.044e+00;8.333e-01;-8.405e-08;7.979e-01;-8.047e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.000008000;1.044e+00;8.333e-01;-8.405e-08;7.979e-01;-8.047e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.000016000;1.044e+00;8.333e-01;-8.405e-08;7.979e-01;-8.047e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.000032000;1.044e+00;8.333e-01;-8.405e-08;7.979e-01;-8.047e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.000064000;1.044e+00;8.333e-01;-8.785e-07;7.979e-01;-8.411e-07;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.000128000;1.044e+00;8.333e-01;-4.370e-08;7.979e-01;-4.184e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.000256000;1.044e+00;8.333e-01;-6.448e-07;7.979e-01;-6.174e-07;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.000512000;1.044e+00;8.333e-01;-1.746e-06;7.978e-01;-1.672e-06;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.001024000;1.044e+00;8.331e-01;-4.049e-06;7.976e-01;-3.877e-06;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.002048000;1.044e+00;8.323e-01;-7.810e-06;7.969e-01;-7.478e-06;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.003072000;1.044e+00;8.311e-01;-4.027e-06;7.957e-01;-3.855e-06;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.005120000;1.044e+00;8.274e-01;4.005e-05;7.922e-01;3.835e-05;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.007168000;1.044e+00;8.226e-01;1.327e-04;7.876e-01;1.271e-04;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.009216000;1.044e+00;8.171e-01;2.677e-04;7.823e-01;2.563e-04;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.011264000;1.044e+00;8.114e-01;4.347e-04;7.768e-01;4.162e-04;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
