time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine1_GEN_MagnitudeControlledByAVRPu;Wind_Turbine2_GEN_MagnitudeControlledByAVRPu;Wind_Turbine1_GEN_UPuInjTerminal;Wind_Turbine1_GEN_IpInjTerminal;Wind_Turbine1_GEN_IqInjTerminal;Wind_Turbine2_GEN_UPuInjTerminal;Wind_Turbine2_GEN_IpInjTerminal;Wind_Turbine2_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr1_XFMR_Tap;StepUp_Xfmr2_XFMR_Tap;Wind_Turbine1_GEN_ActivePowerSetpointPu;Wind_Turbine1_GEN_ReactivePowerSetpointPu;Wind_Turbine1_GEN_VoltageSetpointPu;Wind_Turbine1_GEN_NetworkFrequencyPu;Wind_Turbine2_GEN_ActivePowerSetpointPu;Wind_Turbine2_GEN_ReactivePowerSetpointPu;Wind_Turbine2_GEN_VoltageSetpointPu;Wind_Turbine2_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;4.167e-01;-5.501e-07;3.989e-01;-5.638e-07;1.044e+00;1.044e+00;1.051e+00;2.020e-01;7.893e-03;1.051e+00;2.020e-01;7.893e-03;1.044e+00;7.500e-01;-9.941e-07;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
19.989996000;1.045e+00;4.168e-01;-5.591e-07;3.989e-01;-5.619e-07;1.045e+00;1.045e+00;1.052e+00;2.020e-01;7.892e-03;1.052e+00;2.020e-01;7.892e-03;1.045e+00;7.501e-01;-1.005e-06;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
19.989998000;1.045e+00;4.167e-01;-5.594e-07;3.989e-01;-5.624e-07;1.045e+00;1.045e+00;1.052e+00;2.020e-01;7.892e-03;1.052e+00;2.020e-01;7.892e-03;1.045e+00;7.501e-01;-1.004e-06;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
19.990012000;1.044e+00;4.164e-01;-5.597e-07;3.989e-01;-5.635e-07;1.044e+00;1.044e+00;1.051e+00;2.020e-01;7.897e-03;1.051e+00;2.020e-01;7.897e-03;1.044e+00;7.496e-01;-1.004e-06;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
19.990871000;9.990e-01;3.985e-01;-1.578e-04;3.989e-01;-1.579e-04;9.989e-01;9.989e-01;1.006e+00;2.020e-01;8.113e-03;1.006e+00;2.020e-01;8.113e-03;9.990e-01;7.174e-01;-2.840e-04;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.015e+01;8.333e-01;0.000e+00;1.044e+00;5.015e+01;5.015e+01
19.992151000;9.322e-01;3.721e-01;-4.056e-04;3.991e-01;-4.351e-04;9.320e-01;9.320e-01;9.392e-01;2.020e-01;8.469e-03;9.392e-01;2.020e-01;8.469e-03;9.322e-01;6.697e-01;-7.300e-04;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.025e+01;8.333e-01;0.000e+00;1.044e+00;5.025e+01;5.025e+01
19.992279000;9.255e-01;3.694e-01;-4.083e-04;3.991e-01;-4.412e-04;9.253e-01;9.253e-01;9.325e-01;2.021e-01;8.520e-03;9.325e-01;2.021e-01;8.520e-03;9.255e-01;6.649e-01;-7.350e-04;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.026e+01;8.333e-01;0.000e+00;1.044e+00;5.026e+01;5.026e+01
19.992407000;9.188e-01;3.668e-01;-4.056e-04;3.992e-01;-4.414e-04;9.186e-01;9.186e-01;9.259e-01;2.021e-01;8.575e-03;9.259e-01;2.021e-01;8.575e-03;9.188e-01;6.602e-01;-7.300e-04;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.026e+01;8.333e-01;0.000e+00;1.044e+00;5.026e+01;5.026e+01
20.002479000;3.934e-01;1.693e-01;2.947e-02;4.305e-01;7.490e-02;4.111e-01;4.111e-01;4.082e-01;2.137e-01;5.769e-02;4.082e-01;2.137e-01;5.769e-02;3.934e-01;3.048e-01;5.304e-02;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.107e+01;8.333e-01;0.000e+00;1.044e+00;5.107e+01;5.107e+01
20.005132000;2.550e-01;1.171e-01;3.671e-02;4.594e-01;1.440e-01;2.770e-01;2.770e-01;2.770e-01;2.205e-01;1.038e-01;2.770e-01;2.205e-01;1.038e-01;2.550e-01;2.109e-01;6.607e-02;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.175e+01;8.333e-01;0.000e+00;1.044e+00;5.175e+01;5.175e+01
20.006476000;1.849e-01;8.886e-02;3.443e-02;4.807e-01;1.862e-01;2.055e-01;2.055e-01;2.118e-01;2.220e-01;1.368e-01;2.118e-01;2.220e-01;1.368e-01;1.849e-01;1.600e-01;6.197e-02;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.233e+01;8.333e-01;0.000e+00;1.044e+00;5.233e+01;5.233e+01
20.009996000;1.000e-03;5.550e-04;2.756e-04;5.550e-01;2.756e-01;1.165e-03;1.165e-03;5.442e-02;6.020e-02;3.070e-01;5.442e-02;6.020e-02;3.070e-01;1.000e-03;9.990e-04;4.960e-04;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.558e+01;8.333e-01;0.000e+00;1.044e+00;5.558e+01;5.558e+01
20.014721000;1.000e-03;6.861e-04;3.039e-04;6.861e-01;3.039e-01;1.182e-03;1.182e-03;6.563e-02;7.198e-02;3.713e-01;6.563e-02;7.198e-02;3.713e-01;1.000e-03;1.235e-03;5.470e-04;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.590e+01;8.333e-01;0.000e+00;1.044e+00;5.590e+01;5.590e+01
20.021121000;1.000e-03;8.639e-04;2.306e-04;8.639e-01;2.306e-01;1.138e-03;1.138e-03;7.781e-02;8.516e-02;4.417e-01;7.781e-02;8.516e-02;4.417e-01;1.000e-03;1.555e-03;4.150e-04;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.629e+01;8.333e-01;0.000e+00;1.044e+00;5.629e+01;5.629e+01
20.035158000;1.000e-03;1.062e-03;-2.667e-04;1.062e+00;-2.667e-01;8.400e-04;8.400e-04;9.446e-02;1.035e-01;5.397e-01;9.446e-02;1.035e-01;5.397e-01;1.000e-03;1.911e-03;-4.800e-04;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.702e+01;8.333e-01;0.000e+00;1.044e+00;5.702e+01;5.702e+01
20.043350000;1.000e-03;9.622e-04;-6.539e-04;9.622e-01;-6.539e-01;6.080e-04;6.080e-04;9.990e-02;1.090e-01;5.728e-01;9.990e-02;1.090e-01;5.728e-01;1.000e-03;1.732e-03;-1.177e-03;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.741e+01;8.333e-01;0.000e+00;1.044e+00;5.741e+01;5.741e+01
20.052566000;1.000e-03;6.306e-04;-1.038e-03;6.306e-01;-1.038e+00;3.770e-04;3.770e-04;1.038e-01;1.119e-01;5.973e-01;1.038e-01;1.119e-01;5.973e-01;1.000e-03;1.135e-03;-1.869e-03;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.785e+01;8.333e-01;0.000e+00;1.044e+00;5.785e+01;5.785e+01
20.057174000;1.000e-03;3.878e-04;-1.171e-03;3.878e-01;-1.171e+00;2.970e-04;2.970e-04;1.052e-01;1.124e-01;6.060e-01;1.052e-01;1.124e-01;6.060e-01;1.000e-03;6.980e-04;-2.108e-03;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.808e+01;8.333e-01;0.000e+00;1.044e+00;5.808e+01;5.808e+01
20.064547000;1.000e-03;-7.167e-05;-1.254e-03;-7.167e-02;-1.254e+00;2.470e-04;2.470e-04;1.068e-01;1.122e-01;6.166e-01;1.068e-01;1.122e-01;6.166e-01;1.000e-03;-1.290e-04;-2.258e-03;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.844e+01;8.333e-01;0.000e+00;1.044e+00;5.844e+01;5.844e+01
20.089338000;1.000e-03;-1.284e-03;-1.467e-04;-1.284e+00;-1.467e-01;9.120e-04;9.120e-04;1.104e-01;1.089e-01;6.340e-01;1.104e-01;1.089e-01;6.340e-01;1.000e-03;-2.311e-03;-2.640e-04;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.971e+01;8.333e-01;0.000e+00;1.044e+00;5.971e+01;5.971e+01
20.090997000;1.000e-03;-1.293e-03;-1.667e-05;-1.293e+00;-1.668e-02;9.900e-04;9.900e-04;1.106e-01;1.089e-01;6.345e-01;1.106e-01;1.089e-01;6.345e-01;1.000e-03;-2.327e-03;-3.000e-05;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.979e+01;8.333e-01;0.000e+00;1.044e+00;5.979e+01;5.979e+01
20.115880000;1.000e-03;3.612e-05;1.293e-03;3.611e-02;1.293e+00;1.776e-03;1.776e-03;1.125e-01;1.145e-01;6.380e-01;1.125e-01;1.145e-01;6.380e-01;1.000e-03;6.502e-05;2.328e-03;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.082e+01;8.333e-01;0.000e+00;1.044e+00;6.082e+01;6.082e+01
20.131640000;1.000e-03;1.168e-03;5.544e-04;1.168e+00;5.544e-01;1.333e-03;1.333e-03;1.123e-01;1.201e-01;6.380e-01;1.123e-01;1.201e-01;6.380e-01;1.000e-03;2.102e-03;9.980e-04;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.132e+01;8.333e-01;0.000e+00;1.044e+00;6.132e+01;6.132e+01
20.137624000;1.000e-03;1.293e-03;1.556e-05;1.293e+00;1.557e-02;1.009e-03;1.009e-03;1.119e-01;1.211e-01;6.380e-01;1.119e-01;1.211e-01;6.380e-01;1.000e-03;2.328e-03;2.804e-05;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.152e+01;8.333e-01;0.000e+00;1.044e+00;6.152e+01;6.152e+01
20.149996000;9.970e-04;8.000e-04;-1.017e-03;8.024e-01;-1.020e+00;3.870e-04;3.870e-04;1.111e-01;1.199e-01;6.385e-01;1.111e-01;1.199e-01;6.385e-01;9.970e-04;1.440e-03;-1.830e-03;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.200e+01;8.333e-01;0.000e+00;1.044e+00;6.200e+01;6.200e+01
20.149997000;9.970e-04;8.006e-04;-1.017e-03;8.030e-01;-1.020e+00;3.870e-04;3.870e-04;1.111e-01;1.199e-01;6.385e-01;1.111e-01;1.199e-01;6.385e-01;9.970e-04;1.441e-03;-1.831e-03;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.201e+01;8.333e-01;0.000e+00;1.044e+00;6.201e+01;6.201e+01
20.155116000;5.343e-03;1.959e-03;-6.672e-03;3.667e-01;-1.249e+00;1.343e-03;1.343e-03;1.070e-01;1.300e-01;6.366e-01;1.070e-01;1.300e-01;6.366e-01;5.343e-03;3.527e-03;-1.201e-02;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.175e+01;8.333e-01;0.000e+00;1.044e+00;6.175e+01;6.175e+01
20.156140000;6.213e-03;1.686e-03;-7.905e-03;2.713e-01;-1.272e+00;1.470e-03;1.470e-03;1.061e-01;1.299e-01;6.366e-01;1.061e-01;1.299e-01;6.366e-01;6.213e-03;3.034e-03;-1.423e-02;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.173e+01;8.333e-01;0.000e+00;1.044e+00;6.173e+01;6.173e+01
20.159212000;8.821e-03;-1.894e-04;-1.149e-02;-2.149e-02;-1.302e+00;1.929e-03;1.929e-03;1.031e-01;1.246e-01;6.377e-01;1.031e-01;1.246e-01;6.377e-01;8.821e-03;-3.409e-04;-2.067e-02;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.181e+01;8.333e-01;0.000e+00;1.044e+00;6.181e+01;6.181e+01
20.163820000;1.273e-02;-5.902e-03;-1.552e-02;-4.635e-01;-1.219e+00;3.421e-03;3.421e-03;9.928e-02;1.008e-01;6.420e-01;9.928e-02;1.008e-01;6.420e-01;1.273e-02;-1.062e-02;-2.794e-02;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.229e+01;8.333e-01;0.000e+00;1.044e+00;6.229e+01;6.229e+01
20.166892000;1.534e-02;-1.139e-02;-1.646e-02;-7.425e-01;-1.073e+00;5.463e-03;5.463e-03;9.801e-02;7.417e-02;6.456e-01;9.801e-02;7.417e-02;6.456e-01;1.534e-02;-2.050e-02;-2.963e-02;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.290e+01;8.333e-01;0.000e+00;1.044e+00;6.290e+01;6.290e+01
20.169913000;1.791e-02;-1.766e-02;-1.532e-02;-9.863e-01;-8.553e-01;8.717e-03;8.717e-03;9.847e-02;4.206e-02;6.485e-01;9.847e-02;4.206e-02;6.485e-01;1.791e-02;-3.179e-02;-2.757e-02;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.371e+01;8.333e-01;0.000e+00;1.044e+00;6.371e+01;6.371e+01
20.173138000;2.064e-02;-2.454e-02;-1.117e-02;-1.188e+00;-5.409e-01;1.395e-02;1.395e-02;1.015e-01;7.019e-03;6.499e-01;1.015e-01;7.019e-03;6.499e-01;2.064e-02;-4.416e-02;-2.010e-02;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.480e+01;8.333e-01;0.000e+00;1.044e+00;6.480e+01;6.480e+01
20.177746000;2.456e-02;-3.204e-02;7.851e-04;-1.305e+00;3.198e-02;2.503e-02;2.503e-02;1.108e-01;-2.734e-02;6.493e-01;1.108e-01;-2.734e-02;6.493e-01;2.456e-02;-5.767e-02;1.413e-03;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.653e+01;8.333e-01;0.000e+00;1.044e+00;6.653e+01;6.653e+01
20.179590000;2.612e-02;-3.326e-02;7.403e-03;-1.273e+00;2.834e-01;3.056e-02;3.056e-02;1.159e-01;-3.136e-02;6.492e-01;1.159e-01;-3.136e-02;6.492e-01;2.612e-02;-5.987e-02;1.333e-02;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.718e+01;8.333e-01;0.000e+00;1.044e+00;6.718e+01;6.718e+01
20.180880000;2.722e-02;-3.322e-02;1.248e-02;-1.221e+00;4.586e-01;3.471e-02;3.471e-02;1.198e-01;-3.014e-02;6.492e-01;1.198e-01;-3.014e-02;6.492e-01;2.722e-02;-5.980e-02;2.247e-02;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.757e+01;8.333e-01;0.000e+00;1.044e+00;6.757e+01;6.757e+01
20.191165000;3.595e-02;-2.198e-03;4.659e-02;-6.115e-02;1.296e+00;6.390e-02;6.390e-02;1.471e-01;8.107e-02;6.449e-01;1.471e-01;8.107e-02;6.449e-01;3.595e-02;-3.957e-03;8.386e-02;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.735e+01;8.333e-01;0.000e+00;1.044e+00;6.735e+01;6.735e+01
20.191538000;3.627e-02;-3.068e-04;4.705e-02;-8.471e-03;1.297e+00;6.449e-02;6.449e-02;1.476e-01;8.718e-02;6.441e-01;1.476e-01;8.718e-02;6.441e-01;3.627e-02;-5.529e-04;8.468e-02;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.722e+01;8.333e-01;0.000e+00;1.044e+00;6.722e+01;6.722e+01
20.193778000;3.817e-02;1.128e-02;4.817e-02;2.954e-01;1.262e+00;6.707e-02;6.707e-02;1.499e-01;1.245e-01;6.379e-01;1.499e-01;1.245e-01;6.379e-01;3.817e-02;2.030e-02;8.670e-02;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.628e+01;8.333e-01;0.000e+00;1.044e+00;6.628e+01;6.628e+01
20.196017000;4.007e-02;2.268e-02;4.668e-02;5.660e-01;1.165e+00;6.807e-02;6.807e-02;1.508e-01;1.617e-01;6.295e-01;1.508e-01;1.617e-01;6.295e-01;4.007e-02;4.082e-02;8.402e-02;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.519e+01;8.333e-01;0.000e+00;1.044e+00;6.519e+01;6.519e+01
20.197137000;4.102e-02;2.810e-02;4.507e-02;6.851e-01;1.099e+00;6.806e-02;6.806e-02;1.507e-01;1.798e-01;6.246e-01;1.507e-01;1.798e-01;6.246e-01;4.102e-02;5.058e-02;8.113e-02;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.461e+01;8.333e-01;0.000e+00;1.044e+00;6.461e+01;6.461e+01
20.206468000;4.894e-02;6.064e-02;1.829e-02;1.239e+00;3.738e-01;5.992e-02;5.992e-02;1.410e-01;3.077e-01;5.726e-01;1.410e-01;3.077e-01;5.726e-01;4.894e-02;1.091e-01;3.293e-02;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.002e+01;8.333e-01;0.000e+00;1.044e+00;6.002e+01;6.002e+01
20.211694000;5.338e-02;6.911e-02;-2.611e-04;1.295e+00;-4.874e-03;5.322e-02;5.322e-02;1.321e-01;3.605e-01;5.409e-01;1.321e-01;3.605e-01;5.409e-01;5.338e-02;1.244e-01;-4.695e-04;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.806e+01;8.333e-01;0.000e+00;1.044e+00;5.806e+01;5.806e+01
20.217665000;5.845e-02;7.289e-02;-2.052e-02;1.247e+00;-3.510e-01;4.614e-02;4.614e-02;1.213e-01;4.084e-01;5.057e-01;1.213e-01;4.084e-01;5.057e-01;5.845e-02;1.312e-01;-3.693e-02;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.639e+01;8.333e-01;0.000e+00;1.044e+00;5.639e+01;5.639e+01
20.226623000;6.605e-02;7.148e-02;-4.723e-02;1.082e+00;-7.150e-01;3.772e-02;3.772e-02;1.053e-01;4.637e-01;4.555e-01;1.053e-01;4.637e-01;4.555e-01;6.605e-02;1.287e-01;-8.501e-02;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.471e+01;8.333e-01;0.000e+00;1.044e+00;5.471e+01;5.471e+01
20.228116000;6.732e-02;7.071e-02;-5.126e-02;1.050e+00;-7.614e-01;3.657e-02;3.657e-02;1.028e-01;4.715e-01;4.474e-01;1.028e-01;4.715e-01;4.474e-01;6.732e-02;1.273e-01;-9.226e-02;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.450e+01;8.333e-01;0.000e+00;1.044e+00;5.450e+01;5.450e+01
20.236925000;7.480e-02;6.422e-02;-7.286e-02;8.586e-01;-9.741e-01;3.108e-02;3.108e-02;8.817e-02;5.131e-01;3.991e-01;8.817e-02;5.131e-01;3.991e-01;7.480e-02;1.156e-01;-1.311e-01;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.355e+01;8.333e-01;0.000e+00;1.044e+00;5.355e+01;5.355e+01
20.237597000;7.537e-02;6.361e-02;-7.438e-02;8.440e-01;-9.868e-01;3.074e-02;3.074e-02;8.709e-02;5.160e-01;3.953e-01;8.709e-02;5.160e-01;3.953e-01;7.537e-02;1.145e-01;-1.339e-01;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.350e+01;8.333e-01;0.000e+00;1.044e+00;5.350e+01;5.350e+01
20.270633000;1.034e-01;6.676e-03;-1.345e-01;6.454e-02;-1.301e+00;2.270e-02;2.270e-02;2.633e-02;6.282e-01;1.668e-01;2.633e-02;6.282e-01;1.668e-01;1.034e-01;1.202e-02;-2.421e-01;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.439e+01;8.333e-01;0.000e+00;1.044e+00;5.439e+01;5.439e+01
20.272570000;1.051e-01;-9.696e-04;-1.369e-01;-9.243e-03;-1.303e+00;2.295e-02;2.295e-02;2.019e-02;6.300e-01;1.598e-01;2.019e-02;6.300e-01;1.598e-01;1.051e-01;-1.747e-03;-2.463e-01;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.496e+01;8.333e-01;0.000e+00;1.044e+00;5.496e+01;5.496e+01
20.272919000;1.054e-01;-2.480e-03;-1.372e-01;-2.355e-02;-1.303e+00;2.302e-02;2.302e-02;1.900e-02;6.300e-01;1.601e-01;1.900e-02;6.300e-01;1.601e-01;1.054e-01;-4.465e-03;-2.470e-01;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.508e+01;8.333e-01;0.000e+00;1.044e+00;5.508e+01;5.508e+01
20.277342000;1.091e-01;-2.625e-02;-1.398e-01;-2.406e-01;-1.281e+00;2.524e-02;2.524e-02;2.718e-03;3.474e-02;6.491e-01;2.718e-03;3.474e-02;6.491e-01;1.091e-01;-4.725e-02;-2.516e-01;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.721e+01;8.333e-01;0.000e+00;1.044e+00;5.721e+01;5.721e+01
20.277598000;1.093e-01;-2.794e-02;-1.398e-01;-2.556e-01;-1.278e+00;2.547e-02;2.547e-02;2.974e-03;-2.524e-01;5.989e-01;2.974e-03;-2.524e-01;5.989e-01;1.093e-01;-5.029e-02;-2.516e-01;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.738e+01;8.333e-01;0.000e+00;1.044e+00;5.738e+01;5.738e+01
20.277982000;1.097e-01;-3.056e-02;-1.397e-01;-2.786e-01;-1.274e+00;2.586e-02;2.586e-02;4.239e-03;-4.852e-01;4.325e-01;4.239e-03;-4.852e-01;4.325e-01;1.097e-01;-5.500e-02;-2.514e-01;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.764e+01;8.333e-01;0.000e+00;1.044e+00;5.764e+01;5.764e+01
20.280952000;1.122e-01;-5.427e-02;-1.359e-01;-4.838e-01;-1.211e+00;3.064e-02;3.064e-02;2.215e-02;-6.279e-01;1.680e-01;2.215e-02;-6.279e-01;1.680e-01;1.122e-01;-9.769e-02;-2.446e-01;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.023e+01;8.333e-01;0.000e+00;1.044e+00;6.023e+01;6.023e+01
20.291017000;1.207e-01;-1.575e-01;-4.002e-03;-1.305e+00;-3.315e-02;1.183e-01;1.183e-01;1.471e-01;-4.453e-01;4.735e-01;1.471e-01;-4.453e-01;4.735e-01;1.207e-01;-2.836e-01;-7.204e-03;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;7.917e+01;8.333e-01;0.000e+00;1.044e+00;7.917e+01;7.917e+01
20.291381000;1.210e-01;-1.578e-01;6.618e-03;-1.304e+00;5.468e-02;1.250e-01;1.250e-01;1.533e-01;-4.282e-01;4.890e-01;1.533e-01;-4.282e-01;4.890e-01;1.210e-01;-2.841e-01;1.191e-02;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;7.990e+01;8.333e-01;0.000e+00;1.044e+00;7.990e+01;7.990e+01
20.294240000;1.235e-01;-1.315e-01;9.262e-02;-1.065e+00;7.502e-01;1.790e-01;1.790e-01;1.987e-01;-2.642e-01;5.939e-01;1.987e-01;-2.642e-01;5.939e-01;1.235e-01;-2.367e-01;1.667e-01;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;8.307e+01;8.333e-01;0.000e+00;1.044e+00;8.307e+01;8.307e+01
20.294404000;1.236e-01;-1.284e-01;9.713e-02;-1.039e+00;7.858e-01;1.819e-01;1.819e-01;2.009e-01;-2.536e-01;5.985e-01;2.009e-01;-2.536e-01;5.985e-01;1.236e-01;-2.311e-01;1.748e-01;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;8.307e+01;8.333e-01;0.000e+00;1.044e+00;8.307e+01;8.307e+01
20.298242000;1.269e-01;-2.807e-02;1.623e-01;-2.213e-01;1.279e+00;2.242e-01;2.242e-01;2.351e-01;-3.274e-03;6.500e-01;2.351e-01;-3.270e-03;6.500e-01;1.269e-01;-5.053e-02;2.921e-01;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;7.786e+01;8.333e-01;0.000e+00;1.044e+00;7.786e+01;7.786e+01
20.298370000;1.270e-01;-2.446e-02;1.630e-01;-1.927e-01;1.284e+00;2.248e-01;2.248e-01;2.357e-01;4.395e-03;6.500e-01;2.357e-01;4.399e-03;6.500e-01;1.270e-01;-4.403e-02;2.934e-01;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;7.757e+01;8.333e-01;0.000e+00;1.044e+00;7.757e+01;7.757e+01
20.299010000;1.275e-01;-6.771e-03;1.653e-01;-5.309e-02;1.296e+00;2.267e-01;2.267e-01;2.379e-01;4.154e-02;6.487e-01;2.379e-01;4.154e-02;6.487e-01;1.275e-01;-1.219e-02;2.976e-01;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;7.606e+01;8.333e-01;0.000e+00;1.044e+00;7.606e+01;7.606e+01
20.299138000;1.276e-01;-3.322e-03;1.655e-01;-2.602e-02;1.297e+00;2.269e-01;2.269e-01;2.383e-01;4.871e-02;6.482e-01;2.383e-01;4.871e-02;6.482e-01;1.276e-01;-5.979e-03;2.980e-01;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;7.575e+01;8.333e-01;0.000e+00;1.044e+00;7.575e+01;7.575e+01
20.299266000;1.277e-01;9.331e-05;1.657e-01;7.377e-04;1.297e+00;2.271e-01;2.271e-01;2.386e-01;5.580e-02;6.476e-01;2.386e-01;5.580e-02;6.476e-01;1.277e-01;1.680e-04;2.983e-01;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;7.544e+01;8.333e-01;0.000e+00;1.044e+00;7.544e+01;7.544e+01
20.300162000;1.285e-01;2.291e-02;1.650e-01;1.783e-01;1.284e+00;2.275e-01;2.275e-01;2.403e-01;1.029e-01;6.418e-01;2.403e-01;1.029e-01;6.418e-01;1.285e-01;4.125e-02;2.970e-01;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;7.326e+01;8.333e-01;0.000e+00;1.044e+00;7.326e+01;7.326e+01
20.305692000;1.332e-01;1.162e-01;1.274e-01;8.722e-01;9.565e-01;2.096e-01;2.096e-01;2.355e-01;3.031e-01;5.750e-01;2.355e-01;3.031e-01;5.750e-01;1.332e-01;2.091e-01;2.293e-01;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.213e+01;8.333e-01;0.000e+00;1.044e+00;6.213e+01;6.213e+01
20.306383000;1.338e-01;1.230e-01;1.219e-01;9.195e-01;9.109e-01;2.069e-01;2.069e-01;2.342e-01;3.193e-01;5.662e-01;2.342e-01;3.193e-01;5.662e-01;1.338e-01;2.214e-01;2.193e-01;1.000e+01;1.000e+01;8.333e-01;0.000e+00;1.044e+00;6.114e+01;8.333e-01;0.000e+00;1.044e+00;6.114e+01;6.114e+01
