time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.333e-01;2.830e-08;7.979e-01;-1.070e-08;1.051e+00;1.055e+00;8.005e-01;1.134e-01;1.044e+00;7.500e-01;3.472e-08;1.000e+01;1.051e+00;5.000e+01;5.000e+01
0.000768000;1.044e+00;8.332e-01;-1.998e-05;7.978e-01;-1.917e-05;1.051e+00;1.055e+00;8.005e-01;1.133e-01;1.044e+00;7.499e-01;-1.796e-05;1.000e+01;1.051e+00;5.000e+01;5.000e+01
0.001024000;1.044e+00;8.332e-01;-3.665e-05;7.977e-01;-3.513e-05;1.051e+00;1.055e+00;8.004e-01;1.133e-01;1.044e+00;7.498e-01;-3.295e-05;1.000e+01;1.051e+00;4.999e+01;4.999e+01
0.001280000;1.044e+00;8.331e-01;-5.776e-05;7.976e-01;-5.534e-05;1.051e+00;1.055e+00;8.003e-01;1.132e-01;1.044e+00;7.498e-01;-5.195e-05;1.000e+01;1.051e+00;4.999e+01;4.999e+01
0.001536000;1.044e+00;8.329e-01;-8.331e-05;7.975e-01;-7.981e-05;1.051e+00;1.055e+00;8.002e-01;1.132e-01;1.044e+00;7.496e-01;-7.495e-05;1.000e+01;1.051e+00;4.999e+01;4.999e+01
0.001792000;1.044e+00;8.328e-01;-1.144e-04;7.973e-01;-1.096e-04;1.051e+00;1.055e+00;8.000e-01;1.131e-01;1.044e+00;7.495e-01;-1.030e-04;1.000e+01;1.051e+00;4.998e+01;4.998e+01
0.002048000;1.044e+00;8.326e-01;-1.500e-04;7.971e-01;-1.436e-04;1.051e+00;1.055e+00;7.998e-01;1.130e-01;1.044e+00;7.493e-01;-1.350e-04;1.000e+01;1.051e+00;4.998e+01;4.998e+01
0.002304000;1.044e+00;8.324e-01;-1.900e-04;7.969e-01;-1.819e-04;1.051e+00;1.055e+00;7.996e-01;1.129e-01;1.044e+00;7.491e-01;-1.709e-04;1.000e+01;1.051e+00;4.997e+01;4.997e+01
0.002560000;1.044e+00;8.321e-01;-2.344e-04;7.967e-01;-2.245e-04;1.051e+00;1.055e+00;7.994e-01;1.128e-01;1.044e+00;7.489e-01;-2.109e-04;1.000e+01;1.051e+00;4.997e+01;4.997e+01
0.002816000;1.044e+00;8.318e-01;-2.844e-04;7.964e-01;-2.723e-04;1.051e+00;1.055e+00;7.992e-01;1.127e-01;1.044e+00;7.486e-01;-2.559e-04;1.000e+01;1.051e+00;4.996e+01;4.996e+01
