time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;5.000e-01;-6.248e-07;4.787e-01;-5.982e-07;1.048e+00;1.000e+01;1.048e+00;1.000e+00;1.000e+00
0.000001000;1.044e+00;5.000e-01;-6.248e-07;4.787e-01;-5.982e-07;1.048e+00;1.000e+01;1.048e+00;1.000e+00;1.000e+00
0.000002000;1.044e+00;5.000e-01;-6.248e-07;4.787e-01;-5.982e-07;1.048e+00;1.000e+01;1.048e+00;1.000e+00;1.000e+00
0.000004000;1.044e+00;5.000e-01;-6.248e-07;4.787e-01;-5.982e-07;1.048e+00;1.000e+01;1.048e+00;1.000e+00;1.000e+00
0.000008000;1.044e+00;5.000e-01;-6.248e-07;4.787e-01;-5.982e-07;1.048e+00;1.000e+01;1.048e+00;1.000e+00;1.000e+00
0.000016000;1.044e+00;5.000e-01;-6.248e-07;4.787e-01;-5.982e-07;1.048e+00;1.000e+01;1.048e+00;1.000e+00;1.000e+00
0.000032000;1.044e+00;5.000e-01;-6.248e-07;4.787e-01;-5.982e-07;1.048e+00;1.000e+01;1.048e+00;1.000e+00;1.000e+00
0.000064000;1.044e+00;5.000e-01;-6.248e-07;4.787e-01;-5.982e-07;1.048e+00;1.000e+01;1.048e+00;1.000e+00;1.000e+00
0.000128000;1.044e+00;5.000e-01;-6.248e-07;4.787e-01;-5.982e-07;1.048e+00;1.000e+01;1.048e+00;1.000e+00;1.000e+00
0.000256000;1.044e+00;5.000e-01;-6.248e-07;4.787e-01;-5.982e-07;1.048e+00;1.000e+01;1.048e+00;1.000e+00;1.000e+00
0.000512000;1.044e+00;5.000e-01;-6.248e-07;4.787e-01;-5.982e-07;1.048e+00;1.000e+01;1.048e+00;1.000e+00;1.000e+00
0.001024000;1.044e+00;5.000e-01;-6.248e-07;4.787e-01;-5.982e-07;1.048e+00;1.000e+01;1.048e+00;1.000e+00;1.000e+00
0.002048000;1.044e+00;5.000e-01;-6.248e-07;4.787e-01;-5.982e-07;1.048e+00;1.000e+01;1.048e+00;1.000e+00;1.000e+00
0.004096000;1.044e+00;5.000e-01;-6.248e-07;4.787e-01;-5.982e-07;1.048e+00;1.000e+01;1.048e+00;1.000e+00;1.000e+00
0.008192000;1.044e+00;5.000e-01;1.786e-07;4.787e-01;1.710e-07;1.048e+00;1.000e+01;1.048e+00;1.000e+00;1.000e+00
0.016384000;1.044e+00;5.000e-01;-1.627e-06;4.787e-01;-1.558e-06;1.048e+00;1.000e+01;1.048e+00;1.000e+00;1.000e+00
0.026384000;1.044e+00;4.999e-01;-5.679e-06;4.786e-01;-5.437e-06;1.048e+00;1.000e+01;1.048e+00;1.000e+00;1.000e+00
0.036384000;1.044e+00;4.997e-01;-1.318e-05;4.784e-01;-1.262e-05;1.048e+00;1.000e+01;1.048e+00;1.000e+00;1.000e+00
0.046384000;1.044e+00;4.994e-01;-1.851e-05;4.782e-01;-1.773e-05;1.048e+00;1.000e+01;1.048e+00;1.000e+00;1.000e+00
0.056384000;1.044e+00;4.991e-01;-2.404e-05;4.778e-01;-2.301e-05;1.048e+00;1.000e+01;1.048e+00;1.000e+00;1.000e+00
0.066384000;1.045e+00;4.986e-01;-2.652e-05;4.774e-01;-2.539e-05;1.048e+00;1.000e+01;1.048e+00;1.000e+00;1.000e+00
0.076384000;1.045e+00;4.981e-01;-2.777e-05;4.769e-01;-2.659e-05;1.048e+00;1.000e+01;1.048e+00;1.000e+00;1.000e+00
