time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_VoltageInjTerminal;Wind_Turbine_GEN_ActiveCurrentInjTerminal;Wind_Turbine_GEN_ReactiveCurrentInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Main_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000;1.027e+00;8.184e-01;-5.383e-02;7.965e-01;-5.240e-02;1.011e+00;1.038e+00;8.085e-01;6.643e-03;1.027e+00;7.365e-01;-4.845e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000397;1.027e+00;8.180e-01;-5.504e-02;7.965e-01;-5.359e-02;1.011e+00;1.038e+00;8.085e-01;5.480e-03;1.027e+00;7.362e-01;-4.954e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000411;1.027e+00;8.180e-01;-5.508e-02;7.965e-01;-5.363e-02;1.010e+00;1.038e+00;8.085e-01;5.440e-03;1.027e+00;7.362e-01;-4.957e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000454;1.027e+00;8.179e-01;-5.520e-02;7.964e-01;-5.375e-02;1.010e+00;1.038e+00;8.085e-01;5.322e-03;1.027e+00;7.361e-01;-4.968e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.000469;1.027e+00;8.179e-01;-5.524e-02;7.964e-01;-5.379e-02;1.010e+00;1.037e+00;8.085e-01;5.282e-03;1.027e+00;7.361e-01;-4.972e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.001008;1.027e+00;8.175e-01;-5.664e-02;7.964e-01;-5.518e-02;1.010e+00;1.037e+00;8.086e-01;3.945e-03;1.027e+00;7.358e-01;-5.097e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.001016;1.026e+00;8.175e-01;-5.666e-02;7.964e-01;-5.520e-02;1.010e+00;1.037e+00;8.086e-01;3.927e-03;1.026e+00;7.358e-01;-5.099e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.001032;1.026e+00;8.175e-01;-5.670e-02;7.964e-01;-5.523e-02;1.009e+00;1.037e+00;8.086e-01;3.892e-03;1.026e+00;7.358e-01;-5.103e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.001439;1.026e+00;8.173e-01;-5.757e-02;7.964e-01;-5.610e-02;1.009e+00;1.037e+00;8.087e-01;3.058e-03;1.026e+00;7.356e-01;-5.181e-02;1.000e+01;8.333e-01;1.044e+00;5.000e+01;5.000e+01
0.001467;1.026e+00;8.173e-01;-5.763e-02;7.964e-01;-5.616e-02;1.009e+00;1.037e+00;8.087e-01;3.004e-03;1.026e+00;7.356e-01;-5.186e-02;1.000e+01;8.333e-01;1.044e+00;5.001e+01;5.001e+01
