time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_VoltageInjTerminal;Wind_Turbine_GEN_ActiveCurrentInjTerminal;Wind_Turbine_GEN_ReactiveCurrentInjTerminal;SyncCompensator_GEN_TSO_FrequencyHz;SyncCompensator_GEN_TSO_ActivePower;SyncCompensator_GEN_TSO_ReactivePower;Main_load_LOAD_TSO_ActivePower;Main_load_LOAD_TSO_ReactivePower;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Main_Xfmr_XFMR_Tap;SyncCompensator_GEN_FrequencyHz;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000;1.033e+00;6.586e-01;-3.637e-02;6.376e-01;-3.521e-02;1.022e+00;1.042e+00;6.489e-01;4.539e-03;5.000e+01;8.046e-03;3.679e-02;6.667e-01;0.000e+00;1.033e+00;5.928e-01;-3.273e-02;1.000e+01;5.000e+01;6.667e-01;5.592e-03;1.044e+00;5.000e+01;5.000e+01
0.001391;1.033e+00;6.589e-01;-3.576e-02;6.377e-01;-3.462e-02;1.022e+00;1.042e+00;6.490e-01;5.125e-03;5.000e+01;7.810e-03;3.618e-02;6.667e-01;0.000e+00;1.033e+00;5.930e-01;-3.219e-02;1.000e+01;5.000e+01;6.667e-01;5.592e-03;1.044e+00;5.000e+01;5.000e+01
0.001448;1.033e+00;6.589e-01;-3.573e-02;6.377e-01;-3.459e-02;1.022e+00;1.042e+00;6.490e-01;5.158e-03;5.000e+01;7.794e-03;3.614e-02;6.667e-01;0.000e+00;1.033e+00;5.930e-01;-3.216e-02;1.000e+01;5.000e+01;6.667e-01;5.592e-03;1.044e+00;4.999e+01;4.999e+01
0.001679;1.033e+00;6.589e-01;-3.559e-02;6.378e-01;-3.445e-02;1.022e+00;1.042e+00;6.491e-01;5.293e-03;5.000e+01;7.731e-03;3.600e-02;6.667e-01;0.000e+00;1.033e+00;5.930e-01;-3.204e-02;1.000e+01;5.000e+01;6.667e-01;5.592e-03;1.044e+00;4.999e+01;4.999e+01
0.001726;1.033e+00;6.590e-01;-3.556e-02;6.378e-01;-3.442e-02;1.023e+00;1.042e+00;6.491e-01;5.322e-03;5.000e+01;7.717e-03;3.597e-02;6.667e-01;0.000e+00;1.033e+00;5.931e-01;-3.201e-02;1.000e+01;5.000e+01;6.667e-01;5.592e-03;1.044e+00;4.999e+01;4.999e+01
0.002981;1.033e+00;6.594e-01;-3.465e-02;6.380e-01;-3.353e-02;1.023e+00;1.042e+00;6.493e-01;6.221e-03;5.000e+01;7.269e-03;3.503e-02;6.667e-01;0.000e+00;1.033e+00;5.935e-01;-3.118e-02;1.000e+01;5.000e+01;6.667e-01;5.592e-03;1.044e+00;4.999e+01;4.999e+01
0.003096;1.034e+00;6.594e-01;-3.455e-02;6.381e-01;-3.343e-02;1.023e+00;1.043e+00;6.493e-01;6.316e-03;5.000e+01;7.220e-03;3.494e-02;6.667e-01;0.000e+00;1.034e+00;5.935e-01;-3.110e-02;1.000e+01;5.000e+01;6.667e-01;5.592e-03;1.044e+00;4.999e+01;4.999e+01
0.003672;1.034e+00;6.597e-01;-3.405e-02;6.382e-01;-3.294e-02;1.023e+00;1.043e+00;6.494e-01;6.808e-03;5.000e+01;6.964e-03;3.442e-02;6.667e-01;0.000e+00;1.034e+00;5.937e-01;-3.065e-02;1.000e+01;5.000e+01;6.667e-01;5.592e-03;1.044e+00;4.999e+01;4.999e+01
0.003787;1.034e+00;6.598e-01;-3.395e-02;6.383e-01;-3.284e-02;1.024e+00;1.043e+00;6.494e-01;6.911e-03;5.000e+01;6.910e-03;3.432e-02;6.667e-01;0.000e+00;1.034e+00;5.938e-01;-3.055e-02;1.000e+01;5.000e+01;6.667e-01;5.592e-03;1.044e+00;4.999e+01;4.999e+01
0.005054;1.034e+00;6.604e-01;-3.275e-02;6.386e-01;-3.167e-02;1.024e+00;1.043e+00;6.498e-01;8.093e-03;5.000e+01;6.271e-03;3.309e-02;6.667e-01;0.000e+00;1.034e+00;5.944e-01;-2.948e-02;1.000e+01;5.000e+01;6.667e-01;5.592e-03;1.044e+00;4.999e+01;4.999e+01
